"﻿""jobClcd""",jobClcdNM,jobCd,jobNm,keywords
011,의회의원·고위공무원 및 기업 고위임원,K000000847,기업고위임원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
011,의회의원·고위공무원 및 기업 고위임원,K000000933,행정부고위공무원,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
012,행정·경영·금융·보험 관리자　,K000000919,마케팅·광고·홍보관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
012,행정·경영·금융·보험 관리자　,K000001059,경영지원관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
012,행정·경영·금융·보험 관리자　,K000001081,정부행정관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
012,행정·경영·금융·보험 관리자　,K000001210,금융관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
012,행정·경영·금융·보험 관리자　,K000007471,보험관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000000833,사회복지관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000000838,초등학교 교장 및 교감,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000000910,경찰·소방·교도관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000000912,중고등학교 교장 및 교감,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000000931,보건·의료관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
013,전문서비스 관리자,K000000969,예술·디자인·방송관리자,professional;role;skill;experience;problem solving;collaboration;communication;analysis;planning;organization;management;leadership;execution;creativity;learning;growth;quality;performance;goal
